"","Tomorrow","Today","PriorEnc","PriorAdm","PriorDis"
"287","(140,150]",153,168,34,32
"288","(150,160]",146,169,34,32
"289","(150,160]",151,164,32,33
"290","(140,150]",159,171,40,32
"291","(140,150]",147,185,40,41
"292","(150,160]",145,179,37,40
"293","(160,170]",152,161,22,18
"294","(160,170]",162,176,37,31
"295","(150,160]",162,185,37,36
"297","(130,140]",128,169,30,49
"298","(140,150]",136,148,28,39
"299","(140,150]",146,151,39,23
"300","(130,140]",148,162,39,20
"301","(150,160]",140,155,26,32
"302","(150,160]",151,173,32,28
"303","(140,150]",151,164,35,27
"304","(150,160]",150,178,30,34
"305","(160,170]",157,174,34,28
"306","(170,180]",165,167,25,14
"307","(180,190]",174,183,34,24
"308","(160,170]",183,197,36,26
"309","(150,160]",168,202,36,26
"310","(150,160]",154,193,37,49
"311","(140,150]",158,178,37,32
"312","(150,160]",149,180,35,42
"313","(150,160]",156,168,32,23
"314","(160,170]",156,168,24,18
"315","(170,180]",166,179,29,29
"316","(150,160]",172,193,43,36
"317","(130,140]",154,185,30,38
"320","(130,140]",129,140,21,22
"322","(140,150]",129,154,33,34
"323","(130,140]",141,149,32,24
"324","(130,140]",140,162,37,33
"326","(130,140]",124,156,25,38
"327","(130,140]",131,137,22,28
"328","(150,160]",136,139,31,14
"329","(150,160]",155,157,36,25
"330","(150,160]",153,178,42,36
"331","(160,170]",160,176,38,24
"332","(160,170]",164,180,36,29
"333","(170,180]",161,199,41,35
"334","(170,180]",172,188,26,31
"335","(170,180]",172,183,27,22
"336","(150,160]",176,190,33,25
"337","(140,150]",153,192,29,48
"338","(150,160]",142,180,33,45
"339","(140,150]",153,166,30,33
"340","(150,160]",143,170,43,26
"341","(160,170]",157,175,30,33
"342","(160,170]",162,167,24,18
"343","(160,170]",163,185,38,29
"344","(150,160]",164,187,30,34
"345","(150,160]",156,181,32,35
"346","(150,160]",153,173,27,29
"347","(160,170]",158,170,29,37
"348","(160,170]",166,162,28,9
"349","(160,170]",170,182,29,17
"350","(160,170]",163,193,31,38
"351","(140,150]",163,180,27,28
"352","(130,140]",150,179,26,40
"353","(130,140]",133,162,25,40
"354","(160,170]",140,147,28,37
"355","(150,160]",162,151,39,18
"356","(160,170]",160,167,35,13
"357","(170,180]",166,179,28,27
"358","(160,170]",175,191,39,27
"359","(150,160]",161,192,28,40
"360","(130,140]",154,174,25,28
"361","(150,160]",140,174,29,49
"362","(150,160]",151,150,26,19
"363","(140,150]",151,155,27,12
"364","(150,160]",148,175,32,38
"365","(140,150]",155,165,31,31
"366","(130,140]",150,176,41,37
"367","(130,140]",138,164,28,42
"368","(130,140]",133,160,37,34
"369","(140,150]",135,159,34,33
"370","(150,160]",144,150,24,20
"371","(150,160]",154,156,28,24
"372","(160,170]",159,174,42,26
"373","(170,180]",161,182,34,30
"374","(160,170]",173,186,34,26
"375","(170,180]",165,197,38,32
"376","(170,180]",172,189,27,28
"377","(170,180]",176,189,29,23
"378","(150,160]",173,201,34,39
"379","(130,140]",158,196,37,42
"383","(130,140]",128,127,28,23
"385","(130,140]",130,148,29,29
"386","(140,150]",137,151,32,27
"387","(140,150]",146,159,38,26
"388","(130,140]",144,171,36,38
"389","(150,160]",134,166,31,38
"390","(160,170]",155,156,29,29
"391","(160,170]",162,164,36,17
"392","(170,180]",168,181,40,28
"393","(160,170]",180,187,35,29
"394","(160,170]",161,195,37,50
