Date,Weekday,7AM Census,Total Encounters,Admissions,Discharges ,Encounters 
8/24/16,Wed,175,,28,40,192
8/25/16,Thu,161,,25,28,174
8/26/16,Fri,154,,29,49,174
8/27/16,Sat,140,,26,19,150
8/28/16,Sun,151,,27,12,155
8/29/16,Mon,151,,32,38,175
8/30/16,Tue,148,,31,31,165
8/31/16,Wed,155,,41,37,176
9/1/16,Thu,150,,28,42,164
9/2/16,Fri,138,,37,34,160
9/3/16,Sat,133,,34,33,159
9/4/16,Sun,135,,24,20,150
9/5/16,Mon,144,,28,24,156
9/6/16,Tue,154,,42,26,174
9/7/16,Wed,159,,34,30,182
9/8/16,Thu,161,,34,26,186
9/9/16,Fri,173,,38,32,197
9/10/16,Sat,165,,27,28,189
9/11/16,Sun,172,,29,23,189
9/12/16,Mon,176,,34,39,201
9/13/16,Tue,173,,37,42,196
9/14/16,Wed,158,,20,49,175
9/15/16,Thu,136,,27,28,149
9/16/16,Fri,126,,21,44,144
9/17/16,Sat,111,,28,23,127
9/18/16,Sun,128,,30,12,133
9/19/16,Mon,135,,29,29,148
9/20/16,Tue,130,,32,27,151
9/21/16,Wed,137,,38,26,159
9/22/16,Thu,146,,36,38,171
9/23/16,Fri,144,,31,38,166
9/24/16,Sat,134,,29,29,156
9/25/16,Sun,155,,36,17,164
9/26/16,Mon,162,,40,28,181
9/27/16,Tue,168,,35,29,187
9/28/16,Wed,180,,37,50,195
9/29/16,Thu,161,,34,27,180
9/30/16,Fri,161,,25,51,175
